Id_planet,Name,Distance,Stellar_magnitude,Planet_type,Discovery_year,Mass_multiplier,Mass_wrt,Radius_multiplier,Radius_wrt,Orbital_radius,Orbital_period,Eccentricity,Detection_method,Status_Exploration,ID_Vessel
302,GJ 876 c,15.000000,10.160000,Gas Giant,2000,7.142000,Jupiter,1.250000,Jupiter,12.959000,8.240000,0.260000,Radial Velocity,0,0
303,GJ 876 d,15.000000,10.160000,Neptune-like,2005,6.830000,Earth,224.000000,Jupiter,20.806999,5.201000,0.210000,Radial Velocity,0,0
304,GJ 876 e,15.000000,10.160000,Neptune-like,2010,46.187000,Earth,0.350000,Jupiter,3.343000,34.030998,0.060000,Radial Velocity,0,0
305,GJ 887 b,11.000000,7.560000,Super Earth,2020,46.056999,Earth,1.880000,Earth,68.000000,25.462000,0.000000,Radial Velocity,0,0
306,GJ 887 c,11.000000,7.560000,Neptune-like,2020,46.180000,Earth,238.000000,Jupiter,0.120000,59.685001,0.000000,Radial Velocity,0,0
307,GJ 896 A b,20.000000,10.050000,Gas Giant,2022,2.260000,Jupiter,1.190000,Jupiter,63.965000,77.863998,0.350000,Astrometry,0,0
308,GJ 9066 c,15.000000,12.710000,Gas Giant,2020,0.210000,Jupiter,856.000000,Jupiter,0.880000,2.100000,0.460000,Radial Velocity,0,0
309,GJ 9689 b,100.000000,11.297000,Neptune-like,2020,9.650000,Earth,274.000000,Jupiter,1.139000,50.102001,0.290000,Radial Velocity,0,0
310,GJ 96 b,39.000000,9.400000,Neptune-like,2018,19.660000,Earth,417.000000,Jupiter,291.000000,20.232000,0.440000,Radial Velocity,0,0
311,GJ 9714 b,67.000000,9.370000,Gas Giant,2022,960.028992,Jupiter,1.110000,Jupiter,12.341000,52.700001,0.160000,Radial Velocity,0,0
312,GJ 9827 b,97.000000,10.370000,Super Earth,2017,4.910000,Earth,1.577000,Earth,188.000000,3.285000,0.000000,Transit,0,0
313,GJ 9827 c,97.000000,10.370000,Super Earth,2017,0.840000,Earth,1.241000,Earth,3.925000,9.856000,0.000000,Transit,0,0
314,GJ 9827 d,97.000000,10.370000,Neptune-like,2017,46.116001,Earth,2.022000,Earth,5.591000,16.974001,0.000000,Transit,0,0
315,Gl 378 b,49.000000,10.030000,Neptune-like,2019,46.066002,Earth,327.000000,Jupiter,39.435001,10.403000,0.110000,Radial Velocity,0,0
316,Gl 49 b,32.000000,9.560000,Neptune-like,2019,5.630000,Earth,0.200000,Jupiter,905.000000,38.056000,0.360000,Radial Velocity,0,0
317,Gl 686 b,27.000000,9.620000,Neptune-like,2018,6.624000,Earth,0.220000,Jupiter,91.000000,42.436001,0.050000,Radial Velocity,0,0
318,GPX-1 b,2137.000000,12.316000,Gas Giant,2021,46.222000,Jupiter,1.470000,Jupiter,338.000000,46.542999,0.000000,Transit,0,0
319,GQ Lupi b,493.000000,11.593000,Gas Giant,2004,20.000000,Jupiter,3.000000,Jupiter,100.000000,1195.900024,0.000000,Direct Imaging,0,0
320,GSC 06214-00210 b,354.000000,12.416000,Gas Giant,2010,16.000000,Jupiter,1.800000,Jupiter,320.000000,6037.399902,0.000000,Direct Imaging,0,0
321,GU Piscium b,155.000000,14.146000,Gas Giant,2014,46.091999,Jupiter,1.265000,Jupiter,2000.000000,155788.796875,0.000000,Direct Imaging,0,0
322,HAT-P-11 b,123.000000,9.460000,Neptune-like,2008,2.669000,Earth,389.000000,Jupiter,5.254000,13.415000,0.220000,Transit,0,0
323,HAT-P-11 c,123.000000,9.460000,Gas Giant,2018,46.083000,Jupiter,1.190000,Jupiter,4.130000,9.300000,0.600000,Radial Velocity,0,0
324,HAT-P-12 b,466.000000,12.665000,Gas Giant,2009,211.000000,Jupiter,959.000000,Jupiter,384.000000,8.761000,0.000000,Transit,0,0
325,HAT-P-13 b,805.000000,10.421000,Gas Giant,2009,851.000000,Jupiter,1.272000,Jupiter,4.383000,7.939000,0.010000,Transit,0,0
326,HAT-P-13 c,805.000000,10.421000,Gas Giant,2009,14.280000,Jupiter,1.100000,Jupiter,1.258000,12.219000,0.660000,Radial Velocity,0,0
327,HAT-P-14 b,726.000000,9.988000,Gas Giant,2010,3.440000,Jupiter,1.420000,Jupiter,596.000000,12.594000,0.110000,Transit,0,0
328,HAT-P-15 b,628.000000,12.410000,Gas Giant,2010,1.940000,Jupiter,1.060000,Jupiter,965.000000,29.841999,0.190000,Transit,0,0
329,HAT-P-16 b,739.000000,10.911000,Gas Giant,2010,4.193000,Jupiter,1.289000,Jupiter,413.000000,7.665000,0.040000,Transit,0,0
330,HAT-P-17 b,301.000000,10.375000,Gas Giant,2010,0.580000,Jupiter,1.050000,Jupiter,882.000000,28.198999,0.350000,Transit,0,0
331,HAT-P-17 c,301.000000,10.375000,Gas Giant,2010,46.115002,Jupiter,1.170000,Jupiter,5.600000,15.300000,0.390000,Radial Velocity,0,0
332,HAT-P-18 b,526.000000,12.597000,Gas Giant,2010,197.000000,Jupiter,995.000000,Jupiter,559.000000,15.058000,0.080000,Transit,0,0
333,HAT-P-19 b,659.000000,12.826000,Gas Giant,2010,292.000000,Jupiter,1.132000,Jupiter,466.000000,109.514000,0.070000,Transit,0,0
334,HAT-P-1 b,519.000000,9.827000,Gas Giant,2006,525.000000,Jupiter,1.319000,Jupiter,5.561000,123.203003,0.000000,Transit,0,0
335,HAT-P-20 b,232.000000,11.231000,Gas Giant,2010,7.246000,Jupiter,867.000000,Jupiter,361.000000,7.939000,0.020000,Transit,0,0
336,HAT-P-21 b,904.000000,11.459000,Gas Giant,2010,4.870000,Jupiter,1.110000,Jupiter,494.000000,11.225000,0.230000,Transit,0,0
337,HAT-P-22 b,267.000000,9.763000,Gas Giant,2010,2.470000,Jupiter,1.150000,Jupiter,414.000000,8.761000,0.020000,Transit,0,0
